TRADENAME,ADDRESS,LICENCETYPES,COMDISTNM,JOBSTATUSDESC,JOBCREATED,longitude,latitude,location,Count,, 
NATURAL MEDICAL CLINIC,#202 1910 20 AV NW,FOOD SERVICE - PREMISES,BANFF TRAIL,RENEWAL LICENSED,05/02/2006 12:00:00 AM,-114.1054441647,51.0707751951022,"(51.0707751951022, -114.1054441647)",1,,
HEALTH LAND WELLNESS CENTRE,#216 500 ROYAL OAK DR NW,FOOD SERVICE - PREMISES,ROYAL OAK,RENEWAL LICENSED,04/20/2015 12:00:00 AM,-114.233331482577,51.1393576148117,"(51.1393576148117, -114.233331482577)",1,,
NURTURE HEALTH & WELLNESS,63 CROWFOOT TC NW,FOOD SERVICE - PREMISES,ARBOUR LAKE,RENEWAL LICENSED,01/13/2015 12:00:00 AM,-114.200542925258,51.126978693416,"(51.126978693416, -114.200542925258)",1,,
JACKSON'S TRADITIONAL CHINESE* MEDICINE ACUPUNCTURE MASSAGE & HERB,#B 308 CENTRE ST SE,FOOD SERVICE - PREMISES,CHINATOWN,RENEWAL LICENSED,04/19/1996 12:00:00 AM,-114.062367757879,51.0499361946977,"(51.0499361946977, -114.062367757879)",1,,
MAC'S CONVENIENCE STORE #2162,#100 11 HIDDEN CREEK DR NW,FOOD SERVICE - PREMISES,HIDDEN VALLEY,RENEWAL LICENSED,04/06/2011 12:00:00 AM,-114.105988823399,51.154475769738,"(51.154475769738, -114.105988823399)",1,,
DOLLAR STORE,6672 4 ST NE,FOOD SERVICE - PREMISES,HUNTINGTON HILLS,RENEWAL LICENSED,01/11/2006 12:00:00 AM,-114.055224063662,51.1120656941287,"(51.1120656941287, -114.055224063662)",1,,
CALGARY CO-OP #22 GAS BAR,11994 SYMONS VALLEY RD NW,FOOD SERVICE - PREMISES,EVANSTON,RENEWAL LICENSED,09/29/2006 12:00:00 AM,-114.123667208048,51.1606799624028,"(51.1606799624028, -114.123667208048)",1,,
MARDA LOOP PETRO-CANADA,2235 33 AV SW,FOOD SERVICE - PREMISES,SOUTH CALGARY,RENEWAL LICENSED,03/30/2016 12:00:00 AM,-114.113336475336,51.0237445609976,"(51.0237445609976, -114.113336475336)",1,,
JENNY CRAIG #8105,#184 495 36 ST NE,FOOD SERVICE - PREMISES,FRANKLIN,RENEWAL LICENSED,01/21/2016 12:00:00 AM,-113.984374310302,51.0558116525672,"(51.0558116525672, -113.984374310302)",1,,
GATEWAY NEWS STAND,#110E 111 5 AV SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,02/27/2006 12:00:00 AM,-114.0633965443,51.048083870613,"(51.048083870613, -114.0633965443)",1,,
ALL 4 WATER CORPORATION,#P 3915 78 AV SE,FOOD SERVICE - PREMISES,FOOTHILLS,RENEWAL LICENSED,03/30/2015 12:00:00 AM,-113.978888462206,50.9811709571328,"(50.9811709571328, -113.978888462206)",1,,
HUDSON (LOFT & FLAT),#600 200 8 AV SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,LICENSED,02/15/2017 12:00:00 AM,-114.066135853018,51.0461110027806,"(51.0461110027806, -114.066135853018)",1,,
HAPPY TOGETHER CONVENIENCE STORE,348 14 AV SW,FOOD SERVICE - PREMISES,BELTLINE,RENEWAL LICENSED,03/11/2013 12:00:00 AM,-114.071249372635,51.0399555463503,"(51.0399555463503, -114.071249372635)",1,,
DOLLARAMA,#2110 901 64 AV NE,FOOD SERVICE - PREMISES,DEERFOOT BUSINESS CENTRE,RENEWAL LICENSED,04/07/2014 12:00:00 AM,-114.042347442787,51.1089678141879,"(51.1089678141879, -114.042347442787)",1,,
NORTH HILL LIQUOR BARN,#1810 1632 14 AV NW,FOOD SERVICE - PREMISES,HOUNSFIELD HEIGHTS/BRIAR HILL,RENEWAL LICENSED,04/25/2006 12:00:00 AM,-114.09987597665,51.0659243415046,"(51.0659243415046, -114.09987597665)",1,,
FAMILY GARDEN FOODS,3153 5 AV NE,FOOD SERVICE - PREMISES,FRANKLIN,LICENSED,04/17/2017 12:00:00 AM,-113.98775059345,51.0565193695499,"(51.0565193695499, -113.98775059345)",1,,
LOONIE PLUS,#1725 1632 14 AV NW,FOOD SERVICE - PREMISES,HOUNSFIELD HEIGHTS/BRIAR HILL,RENEWAL LICENSED,01/16/2015 12:00:00 AM,-114.09987597665,51.0659243415046,"(51.0659243415046, -114.09987597665)",1,,
DABH PREMIER GIFTS AND MORE,255 BARCLAY PR SW,FOOD SERVICE - PREMISES,EAU CLAIRE,RENEWAL LICENSED,03/27/2015 12:00:00 AM,-114.070419029699,51.0519560354616,"(51.0519560354616, -114.070419029699)",1,,
JENNY CRAIG #8093,39 CROWFOOT TC NW,FOOD SERVICE - PREMISES,ARBOUR LAKE,RENEWAL LICENSED,01/21/2016 12:00:00 AM,-114.200542925258,51.126978693416,"(51.126978693416, -114.200542925258)",1,,
ESSENCE WELLNESS CLINIC,#305 3425 22 ST SW,FOOD SERVICE - PREMISES,SOUTH CALGARY,RENEWAL LICENSED,05/05/2016 12:00:00 AM,-114.114848749742,51.0234258517581,"(51.0234258517581, -114.114848749742)",1,,
ORAOXYGEN WELLNESS SPA,2000 AIRPORT RD NE,FOOD SERVICE - PREMISES,CALGARY INTERNATIONAL AIRPORT,LICENSED,04/07/2017 12:00:00 AM,-114.006647468536,51.1289921492459,"(51.1289921492459, -114.006647468536)",1,,
SECOND CUP,#240 140 4 AV SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,04/08/2003 12:00:00 AM,-114.064377128967,51.0500690503712,"(51.0500690503712, -114.064377128967)",1,,
COOKIES ON THE GO,#107 1935 32 AV NE,FOOD SERVICE - PREMISES,SOUTH AIRWAYS,RENEWAL LICENSED,05/26/2006 12:00:00 AM,-114.012633990366,51.0808675040829,"(51.0808675040829, -114.012633990366)",1,,
RIDEAU PHARMACY,#104 1711 4 ST SW,FOOD SERVICE - PREMISES,CLIFF BUNGALOW,RENEWAL LICENSED,11/04/1998 12:00:00 AM,-114.071840869493,51.0371896306494,"(51.0371896306494, -114.071840869493)",1,,
BOWNESS DRUGS,6403 BOWNESS RD NW,FOOD SERVICE - PREMISES,BOWNESS,RENEWAL LICENSED,12/20/1999 12:00:00 AM,-114.180405824479,51.0856050128875,"(51.0856050128875, -114.180405824479)",1,,
DISTINCTIVE CATERING,#1 2828 18 ST NE,FOOD SERVICE - PREMISES,SOUTH AIRWAYS,RENEWAL LICENSED,11/21/2007 12:00:00 AM,-114.013752183273,51.0777953567187,"(51.0777953567187, -114.013752183273)",1,,
MARIA GOURMET MARKET,#36 2770 32 AV NE,FOOD SERVICE - PREMISES,HORIZON,RENEWAL LICENSED,07/17/2009 12:00:00 AM,-113.995728867201,51.0821677363007,"(51.0821677363007, -113.995728867201)",1,,
SHOPPERS DRUG MART 2399,#204 8338 18 ST SE,FOOD SERVICE - PREMISES,RIVERBEND,RENEWAL LICENSED,05/09/2014 12:00:00 AM,-114.013246380888,50.9780931756391,"(50.9780931756391, -114.013246380888)",1,,
ROYAL SPIRITS & WINE,#11 9620 ELBOW DR SW,FOOD SERVICE - PREMISES,HAYSBORO,RENEWAL LICENSED,04/26/1996 12:00:00 AM,-114.0839397309,50.9689775714018,"(50.9689775714018, -114.0839397309)",1,,
CALGARY CO-OP WINES & SPIRITS - #35 KINGSLAND,6907 MACLEOD TR SW,FOOD SERVICE - PREMISES,KINGSLAND,RENEWAL LICENSED,05/12/2010 12:00:00 AM,-114.072828237667,50.991777402484,"(50.991777402484, -114.072828237667)",1,,
FUTURE DRUG MART,#102 4015 17 AV SE,FOOD SERVICE - PREMISES,FOREST LAWN,RENEWAL LICENSED,11/08/2010 12:00:00 AM,-113.976803568746,51.0374132143591,"(51.0374132143591, -113.976803568746)",1,,
EL MERCADITO LATINO,#128 4774 WESTWINDS DR NE,FOOD SERVICE - PREMISES,WESTWINDS,LICENSED,04/03/2017 12:00:00 AM,-113.966406424444,51.1006667122763,"(51.1006667122763, -113.966406424444)",1,,
LIV YOGA  AND WELLNESS CENTRE,#110 840 6 AV SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,05/05/2016 12:00:00 AM,-114.08062835475,51.048231225022,"(51.048231225022, -114.08062835475)",1,,
MARKJOEL'S BARBEQUE,3215 17 AV SE,FOOD SERVICE - PREMISES,SOUTHVIEW,RENEWAL LICENSED,11/19/2009 12:00:00 AM,-113.988758131555,51.0368641011714,"(51.0368641011714, -113.988758131555)",1,,
MAPLE LEAF FOOD STORE,2639 17 AV SW,FOOD SERVICE - PREMISES,KILLARNEY/GLENGARRY,RENEWAL LICENSED,03/09/2006 12:00:00 AM,-114.123453454716,51.0375993884012,"(51.0375993884012, -114.123453454716)",1,,
PEAK OF THE MARKET,#118 10761 25 ST NE,FOOD SERVICE - PREMISES,CALGARY INTERNATIONAL AIRPORT,RENEWAL LICENSED,08/14/2012 12:00:00 AM,-113.998601200679,51.1526147841534,"(51.1526147841534, -113.998601200679)",1,,
360 FITNESS,5975 SIGNAL HILL CE SW,FOOD SERVICE - PREMISES,SIGNAL HILL,LICENSED,01/17/2017 12:00:00 AM,-114.175226367358,51.0172186365601,"(51.0172186365601, -114.175226367358)",1,,
POPEYE'S SUPPLEMENTS CALGARY,#810 20 CROWFOOT CR NW,FOOD SERVICE - PREMISES,ARBOUR LAKE,RENEWAL LICENSED,02/19/2013 12:00:00 AM,-114.198760768319,51.1255661738318,"(51.1255661738318, -114.198760768319)",1,,
PACINI RESTAURANT,123 FREEPORT BV NE,FOOD SERVICE - PREMISES,CALGARY INTERNATIONAL AIRPORT,RENEWAL LICENSED,03/10/2009 12:00:00 AM,-113.999974095788,51.1503769195768,"(51.1503769195768, -113.999974095788)",1,,
ADVANCE LASER AND TANNING,#108 2675 36 ST NE,FOOD SERVICE - PREMISES,SUNRIDGE,RENEWAL LICENSED,03/12/2004 12:00:00 AM,-113.983024393968,51.0771867972664,"(51.0771867972664, -113.983024393968)",1,,
MAMM'S FOOD PLUS,#101 825 8 AV SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,04/13/2016 12:00:00 AM,-114.080408307219,51.045758766723,"(51.045758766723, -114.080408307219)",1,,
KOREANA MARKET,#15 3616 52 AV NW,FOOD SERVICE - PREMISES,BRENTWOOD,RENEWAL LICENSED,04/08/2008 12:00:00 AM,-114.139811688725,51.1017358232463,"(51.1017358232463, -114.139811688725)",1,,
WG PRO-MANUFACTURING,#284 2880 45 AV SE,FOOD SERVICE - PREMISES,VALLEYFIELD,LICENSED,04/26/2017 12:00:00 AM,-113.990408990776,51.0144272877768,"(51.0144272877768, -113.990408990776)",1,,
MONTEREY LAUNDROMAT,#108 2220 68 ST NE,FOOD SERVICE - PREMISES,MONTEREY PARK,EXPIRED,02/22/2010 12:00:00 AM,-113.934160678277,51.0694313884761,"(51.0694313884761, -113.934160678277)",1,,
SALSITA,777 NORTHMOUNT DR NW,FOOD SERVICE - PREMISES,COLLINGWOOD,RENEWAL LICENSED,03/17/2011 12:00:00 AM,-114.095962972975,51.0824797697081,"(51.0824797697081, -114.095962972975)",1,,
SHOPPERS DRUG MART STORE #2403,#101 600 SADDLETOWNE CI NE,FOOD SERVICE - PREMISES,SADDLE RIDGE,LICENSED,09/23/2016 12:00:00 AM,-113.945180322562,51.1258643370995,"(51.1258643370995, -113.945180322562)",1,,
GUMMI BOUTIQUE,205 10 ST NW,FOOD SERVICE - PREMISES,HILLHURST,RENEWAL LICENSED,07/17/2012 12:00:00 AM,-114.086253975119,51.0530570444321,"(51.0530570444321, -114.086253975119)",1,,
SOBEYS WESTERN CELLARS ROYAL OAK,#303 8888 COUNTRY HILLS BV NW,FOOD SERVICE - PREMISES,ROYAL VISTA,RENEWAL LICENSED,02/11/2004 12:00:00 AM,-114.21489442,51.1519932596985,"(51.1519932596985, -114.21489442)",1,,
GREAT WALL HEALTH CENTRE,#340 225 7 AV SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,01/27/2009 12:00:00 AM,-114.067117715941,51.0461441815421,"(51.0461441815421, -114.067117715941)",1,,
V I P'S GOURMET CATERING (A),#7 4063 74 AV SE,FOOD SERVICE - PREMISES,FOOTHILLS,EXPIRED,04/22/1999 12:00:00 AM,-113.977577201277,50.9877258785068,"(50.9877258785068, -113.977577201277)",1,,
MEMORY EXPRESS COMPUTER PRODUCTS,3305 32 ST NE,FOOD SERVICE - PREMISES,HORIZON,RENEWAL LICENSED,11/02/2012 12:00:00 AM,-113.9894004798,51.0820838593039,"(51.0820838593039, -113.9894004798)",1,,
VISTA HEIGHTS PHARMACY,#110 2066 18 AV NE,FOOD SERVICE - PREMISES,VISTA HEIGHTS,LICENSED,04/10/2017 12:00:00 AM,-114.012547673944,51.0693744365955,"(51.0693744365955, -114.012547673944)",1,,
HOTEL ELAN,1122 16 AV SW,FOOD SERVICE - PREMISES,BELTLINE,RENEWAL LICENSED,01/11/2013 12:00:00 AM,-114.088172734541,51.0385969271441,"(51.0385969271441, -114.088172734541)",1,,
VERSACOLD LOGISTICS CANADA,5555 78 AV SE,FOOD SERVICE - PREMISES,GREAT PLAINS,RENEWAL LICENSED,08/10/2007 12:00:00 AM,-113.954640622567,50.9822469972077,"(50.9822469972077, -113.954640622567)",1,,
BONGS & SUCH,1228 16 AV NW,FOOD SERVICE - PREMISES,CAPITOL HILL,RENEWAL LICENSED,04/01/2010 12:00:00 AM,-114.08850819261,51.0673022214933,"(51.0673022214933, -114.08850819261)",1,,
TRUVE,#104 422 11 AV SE,FOOD SERVICE - PREMISES,BELTLINE,RENEWAL LICENSED,05/06/2014 12:00:00 AM,-114.05422611191,51.0424323902518,"(51.0424323902518, -114.05422611191)",1,,
INTERNATIONAL NEWS,#215 555 8 AV SW,FOOD SERVICE - PREMISES,DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,12/06/2012 12:00:00 AM,-114.072690294084,51.0453501980764,"(51.0453501980764, -114.072690294084)",1,,
J J TRADITIONAL CHINESE MEDICINE & ACUPUNCTURE CLINIC,1041 CANYON MEADOWS DR SW,FOOD SERVICE - PREMISES,CANYON MEADOWS,RENEWAL LICENSED,01/17/2007 12:00:00 AM,-114.083728470917,50.9386318595088,"(50.9386318595088, -114.083728470917)",1,,
SYRIAN CUISINE MADE WITH LOVE,#109 4140 6 ST NE,FOOD SERVICE - PREMISES,GREENVIEW INDUSTRIAL PARK,EXPIRED,04/26/2016 12:00:00 AM,-114.04768050985,51.089673826931,"(51.089673826931, -114.04768050985)",1,,
IDEAL JOURNEY WEIGHT MANAGEMENT,#6 4624 VARSITY DR NW,FOOD SERVICE - PREMISES,VARSITY,RENEWAL LICENSED,03/18/2015 12:00:00 AM,-114.154050743356,51.0935521766961,"(51.0935521766961, -114.154050743356)",1,,
TEALIFE,#205 412 53 AV SE,FOOD SERVICE - PREMISES,MANCHESTER INDUSTRIAL,RENEWAL LICENSED,01/12/2016 12:00:00 AM,-114.056033132162,51.0064364833322,"(51.0064364833322, -114.056033132162)",1,,
S & N GROCERY,#327 7 WESTWINDS CR NE,FOOD SERVICE - PREMISES,WESTWINDS,RENEWAL LICENSED,05/02/2014 12:00:00 AM,-113.970449781427,51.1066394628481,"(51.1066394628481, -113.970449781427)",1,,
MEDICINE SHOPPE #171,#100 2675 36 ST NE,FOOD SERVICE - PREMISES,SUNRIDGE,RENEWAL LICENSED,12/07/2015 12:00:00 AM,-113.983024393968,51.0771867972664,"(51.0771867972664, -113.983024393968)",1,,
TAN KY FRESH MEAT,3215 17 AV SE,FOOD SERVICE - PREMISES,SOUTHVIEW,RENEWAL LICENSED,04/02/2014 12:00:00 AM,-113.988758131555,51.0368641011714,"(51.0368641011714, -113.988758131555)",1,,
LUKES DRUG MART KILLARNEY,3407 26 AV SW,FOOD SERVICE - PREMISES,KILLARNEY/GLENGARRY,EXPIRED,01/14/2010 12:00:00 AM,-114.135900651994,51.0296688212711,"(51.0296688212711, -114.135900651994)",1,,
ROYAL CARE DOUGLASDALE PHARMACY,#6 20 DOUGLAS WOODS DR SE,FOOD SERVICE - PREMISES,DOUGLASDALE/GLEN,RENEWAL LICENSED,04/10/2015 12:00:00 AM,-114.001564072396,50.9432450246524,"(50.9432450246524, -114.001564072396)",1,,
SUBWAY SANDWICHES & SALADS,1207 12 AV SW,FOOD SERVICE - PREMISES (NO SEATING),BELTLINE,RENEWAL LICENSED,07/23/1998 12:00:00 AM,-114.089418690792,51.0417896291884,"(51.0417896291884, -114.089418690792)",1,,
DILLO'S PIZZA,1282 68 ST SE,FOOD SERVICE - PREMISES (NO SEATING),APPLEWOOD PARK,RENEWAL LICENSED,11/19/2013 12:00:00 AM,-113.934347644441,51.0429814197175,"(51.0429814197175, -113.934347644441)",1,,
MAHARAJAH EAST INDIAN RESTAURANT SW,#912 10 DISCOVERY RIDGE HL SW,FOOD SERVICE - PREMISES (NO SEATING),DISCOVERY RIDGE,RENEWAL LICENSED,05/02/2012 12:00:00 AM,-114.213101964846,51.0155035579152,"(51.0155035579152, -114.213101964846)",1,,
BLACKFOOT MOTORCYCLE,6 HIGHFIELD CI SE,FOOD SERVICE - PREMISES (NO SEATING),HIGHFIELD,RENEWAL LICENSED,04/20/1998 12:00:00 AM,-114.046562342449,51.0119945568907,"(51.0119945568907, -114.046562342449)",1,,
SHEFIELD EXPRESS #93,#117 751 3 ST SW,FOOD SERVICE - PREMISES (NO SEATING),DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,04/06/2010 12:00:00 AM,-114.070930647611,51.0462295329443,"(51.0462295329443, -114.070930647611)",1,,
SUBWAY 15883 MOUNT ROYAL,#101Z 4825 MOUNT ROYAL GA SW,FOOD SERVICE - PREMISES (NO SEATING),LINCOLN PARK,RENEWAL LICENSED,01/03/2013 12:00:00 AM,-114.132719767315,51.0126033546985,"(51.0126033546985, -114.132719767315)",1,,
MANCHU WOK,#14FC 100 ANDERSON RD SE,FOOD SERVICE - PREMISES (NO SEATING),WILLOW PARK,RENEWAL LICENSED,02/26/2013 12:00:00 AM,-114.066230364441,50.9526117047302,"(50.9526117047302, -114.066230364441)",1,,
LYNNWOOD VALUE DRUG MART,6618 20A ST SE,FOOD SERVICE - PREMISES (NO SEATING),OGDEN,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.009673972398,50.9938704226336,"(50.9938704226336, -114.009673972398)",1,,
JUGO JUICE,2000 AIRPORT RD NE,FOOD SERVICE - PREMISES (NO SEATING),CALGARY INTERNATIONAL AIRPORT,RENEWAL LICENSED,08/04/2006 12:00:00 AM,-114.006647468536,51.1289921492459,"(51.1289921492459, -114.006647468536)",1,,
AFC SUSHI,1130 11 AV SW,FOOD SERVICE - PREMISES (NO SEATING),BELTLINE,RENEWAL LICENSED,09/05/2012 12:00:00 AM,-114.088202629037,51.0435536211877,"(51.0435536211877, -114.088202629037)",1,,
TIM HORTONS #4826,5919 MACLEOD TR SW,FOOD SERVICE - PREMISES (NO SEATING),MEADOWLARK PARK,RENEWAL LICENSED,04/18/2013 12:00:00 AM,-114.072356595152,51.0006955830144,"(51.0006955830144, -114.072356595152)",1,,
CARL'S JR,#298C 402 COLLEGIATE BV NW,FOOD SERVICE - PREMISES (NO SEATING),UNIVERSITY HEIGHTS,LICENSED,10/26/2016 12:00:00 AM,-114.131715237588,51.0781825009678,"(51.0781825009678, -114.131715237588)",1,,
A-PIZZA PLUS,#8 4623 BOW TR SW,FOOD SERVICE - PREMISES (NO SEATING),WESTGATE,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.153441077078,51.0485627815906,"(51.0485627815906, -114.153441077078)",1,,
SUSHI 2 YOU,#2F 2640 52 ST NE,FOOD SERVICE - PREMISES (NO SEATING),PINERIDGE,RENEWAL LICENSED,03/03/2015 12:00:00 AM,-113.956056055192,51.0756537498291,"(51.0756537498291, -113.956056055192)",1,,
GOOD EARTH CAFE,7007 14 ST SW,FOOD SERVICE - PREMISES (NO SEATING),EAGLE RIDGE,RENEWAL LICENSED,12/12/2008 12:00:00 AM,-114.097430966613,50.9897022958759,"(50.9897022958759, -114.097430966613)",1,,
JUGO JUICE,#312 315 8 AV SW,FOOD SERVICE - PREMISES (NO SEATING),DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,01/27/2014 12:00:00 AM,-114.069011476438,51.0452428154046,"(51.0452428154046, -114.069011476438)",1,,
CHICKEN-ON-THE-WAY,1443 KENSINGTON RD NW,FOOD SERVICE - PREMISES (NO SEATING),HILLHURST,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.09435403657,51.0520924190528,"(51.0520924190528, -114.09435403657)",1,,
SHAWDESI BAZAAR,#131 55 WESTWINDS CR NE,FOOD SERVICE - PREMISES (NO SEATING),WESTWINDS,RENEWAL LICENSED,03/25/2009 12:00:00 AM,-113.969200219324,51.1071310587393,"(51.1071310587393, -113.969200219324)",1,,
SUBWAY SANDWICHES & SALADS,#209 8060 SILVER SPRINGS BV NW,FOOD SERVICE - PREMISES (NO SEATING),SILVER SPRINGS,RENEWAL LICENSED,07/23/1998 12:00:00 AM,-114.205525439357,51.1160313994698,"(51.1160313994698, -114.205525439357)",1,,
PIZZA 73,#107 6490 OLD BANFF COACH RD SW,FOOD SERVICE - PREMISES (NO SEATING),PATTERSON,RENEWAL LICENSED,05/31/2004 12:00:00 AM,-114.180931016861,51.0610920506495,"(51.0610920506495, -114.180931016861)",1,,
LITTLE CAESARS PIZZA,#5 200 52 ST NE,FOOD SERVICE - PREMISES (NO SEATING),MARLBOROUGH PARK,RENEWAL LICENSED,11/19/2002 12:00:00 AM,-113.954982081112,51.0548772538091,"(51.0548772538091, -113.954982081112)",1,,
PIZZA HUT #4787,#3103 55 SKYVIEW RANCH RD NE,FOOD SERVICE - PREMISES (NO SEATING),SKYVIEW RANCH,RENEWAL LICENSED,11/23/2011 12:00:00 AM,-113.962414724607,51.1648249072077,"(51.1648249072077, -113.962414724607)",1,,
TIRU INJERA TRADITIONAL BREAD,#26 3304 64 ST NE,FOOD SERVICE - PREMISES (NO SEATING),TEMPLE,RENEWAL LICENSED,09/28/2015 12:00:00 AM,-113.940365825612,51.0820471429823,"(51.0820471429823, -113.940365825612)",1,,
DOMINO'S PIZZA #39001,#40 3500 24 AV NW,FOOD SERVICE - PREMISES (NO SEATING),UNIVERSITY OF CALGARY,RENEWAL LICENSED,06/06/2016 12:00:00 AM,-114.137244853157,51.0751494099406,"(51.0751494099406, -114.137244853157)",1,,
SOUVLAKI TIME,#22B 1200 37 ST SW,FOOD SERVICE - PREMISES (NO SEATING),ROSSCARROCK,RENEWAL LICENSED,11/26/2012 12:00:00 AM,-114.139783334929,51.0422406294626,"(51.0422406294626, -114.139783334929)",1,,
MARKLAN BOTTLE DEPOT,2842 GLENMORE TR SE,FOOD SERVICE - PREMISES (NO SEATING),OGDEN,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-113.995113876966,50.9808021890753,"(50.9808021890753, -113.995113876966)",1,,
"HUMMINGBIRD ACUPUNCTURE, HERBS & MASSAGE CENTRE",#106 506 71 AV SW,FOOD SERVICE - PREMISES (NO SEATING),KINGSLAND,RENEWAL LICENSED,04/30/2013 12:00:00 AM,-114.073573333685,50.9898310005405,"(50.9898310005405, -114.073573333685)",1,,
BABYLON QITHARA,#39M 200 BARCLAY PR SW,FOOD SERVICE - PREMISES (NO SEATING),EAU CLAIRE,RENEWAL LICENSED,02/11/2011 12:00:00 AM,-114.068443859948,51.0526580520094,"(51.0526580520094, -114.068443859948)",1,,
DOMINO'S PIZZA,#330 100 AUBURN MEADOWS DR SE,FOOD SERVICE - PREMISES (NO SEATING),AUBURN BAY,LICENSED,10/26/2016 12:00:00 AM,-113.945736844672,50.8949479463511,"(50.8949479463511, -113.945736844672)",1,,
THAI EXPRESS,#15F 6455 MACLEOD TR SW,FOOD SERVICE - PREMISES (NO SEATING),MEADOWLARK PARK,RENEWAL LICENSED,04/13/2010 12:00:00 AM,-114.0738360896,50.9979758797472,"(50.9979758797472, -114.0738360896)",1,,
JUGO JUICE,#1151 6455 MACLEOD TR SW,FOOD SERVICE - PREMISES (NO SEATING),MEADOWLARK PARK,RENEWAL LICENSED,02/26/2014 12:00:00 AM,-114.0738360896,50.9979758797472,"(50.9979758797472, -114.0738360896)",1,,
7 ELEVEN FOOD STORE GAS BAR #32741,150 96 AV NE,FOOD SERVICE - PREMISES (NO SEATING),HARVEST HILLS,RENEWAL LICENSED,09/24/1999 12:00:00 AM,-114.067694338411,51.1423129303392,"(51.1423129303392, -114.067694338411)",1,,
TAI CHINESE HERB CENTRE,#112 111 3 AV SE,FOOD SERVICE - PREMISES (NO SEATING),CHINATOWN,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.061901335149,51.0499574884921,"(51.0499574884921, -114.061901335149)",1,,
7 ELEVEN FOOD STORE 25750H,950 QUEENSLAND DR SE,FOOD SERVICE - PREMISES (NO SEATING),QUEENSLAND,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.016994142453,50.9326695701182,"(50.9326695701182, -114.016994142453)",1,,
CHARLY'S KITCHEN,#5 3715 61 AV SE,FOOD SERVICE - PREMISES (NO SEATING),FOOTHILLS,RENEWAL LICENSED,10/07/2002 12:00:00 AM,-113.979698490308,50.9986293232055,"(50.9986293232055, -113.979698490308)",1,,
QUESADA BURRITOS & TACOS,#203 420 2 ST SW,FOOD SERVICE - PREMISES (NO SEATING),DOWNTOWN COMMERCIAL CORE,LICENSED,10/24/2016 12:00:00 AM,-114.066618806678,51.0489287859163,"(51.0489287859163, -114.066618806678)",1,,
VILLA MADINA,#9FC 100 ANDERSON RD SE,FOOD SERVICE - PREMISES (NO SEATING),WILLOW PARK,RENEWAL INVOICED,07/03/2012 12:00:00 AM,-114.066230364441,50.9526117047302,"(50.9526117047302, -114.066230364441)",1,,
SILVERSPRINGS LIQUOR STORE,#188 8060 SILVER SPRINGS BV NW,FOOD SERVICE - PREMISES (NO SEATING),SILVER SPRINGS,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.204595404811,51.1164186982086,"(51.1164186982086, -114.204595404811)",1,,
CHICAGO DEEP DISH PIZZA,#4 1211 14 ST SW,FOOD SERVICE - PREMISES (NO SEATING),SUNALTA,RENEWAL LICENSED,12/05/1997 12:00:00 AM,-114.09519165282,51.0416468989376,"(51.0416468989376, -114.09519165282)",1,,
STARBUCKS COFFEE,110 9 AV SE,FOOD SERVICE - PREMISES (NO SEATING),DOWNTOWN COMMERCIAL CORE,RENEWAL LICENSED,07/26/2000 12:00:00 AM,-114.062545120037,51.0450702189478,"(51.0450702189478, -114.062545120037)",1,,
CROWFOOT LIQUOR STORE,7414 CROWFOOT RD NW,FOOD SERVICE - PREMISES (NO SEATING),ARBOUR LAKE,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-114.196425745089,51.1265860901063,"(51.1265860901063, -114.196425745089)",1,,
OLD FASHION DELI & MEAT,532 CLEVELAND CR SE,FOOD SERVICE - PREMISES (NO SEATING),MANCHESTER INDUSTRIAL,RENEWAL LICENSED,04/11/1996 12:00:00 AM,-114.053464738951,51.0168547287436,"(51.0168547287436, -114.053464738951)",1,,
COBS BREAD,#107 150 CROWFOOT CR NW,FOOD SERVICE - PREMISES (NO SEATING),ARBOUR LAKE,RENEWAL LICENSED,12/04/2015 12:00:00 AM,-114.196796566975,51.1276223844028,"(51.1276223844028, -114.196796566975)",1,,
7 ELEVEN FOOD STORE #15547,3725 30 AV SE,FOOD SERVICE - PREMISES (NO SEATING),DOVER,RENEWAL LICENSED,10/07/1994 12:00:00 AM,-113.980393144978,51.0265593968475,"(51.0265593968475, -113.980393144978)",1,,
